LOT,Arrival Time at Staging Area,STARTOPER_MOVEIN_DATE,STARTOPER_MOVEOUT_DATE,STARTOPER_PREVOUT_DATE,STARTOPER_ENTITY,Available Start Entity,ENDOPER_MOVEIN_DATE,ENDOPER_MOVEOUT_DATE,ENDOPER_PREVOUT_DATE,ENDOPER_ENTITY,WAFER_QTY,Available Entity,Time step,Benchmark,Current Hours
L0033960,5/4/2020 7:58,7/4/2020 21:07,7/4/2020 21:58,7/4/2020 20:07,CVD225,13,7/4/2020 23:55,8/4/2020 1:34,7/4/2020 21:58,CDO202,25,2,0,1,1.935278
L0042500,5/4/2020 8:54,7/4/2020 20:25,7/4/2020 21:20,7/4/2020 20:09,CVD406,13,7/4/2020 22:55,8/4/2020 0:34,7/4/2020 21:20,CDO202,25,2,2,1,1.583889
L0012430,5/4/2020 9:27,7/4/2020 20:41,7/4/2020 21:31,7/4/2020 20:15,CVD426,13,7/4/2020 23:21,8/4/2020 0:51,7/4/2020 21:31,CDO203,25,2,8,1,1.838056
L0013860,5/4/2020 9:45,7/4/2020 23:01,7/4/2020 23:40,7/4/2020 22:57,CVD225,13,8/4/2020 0:15,8/4/2020 1:29,7/4/2020 23:40,CDO203,18,2,50,0,0.571944
L9525560,5/4/2020 9:51,7/4/2020 23:40,8/4/2020 0:31,7/4/2020 23:37,CVD619,13,8/4/2020 0:49,8/4/2020 1:55,8/4/2020 0:31,CDO201,25,2,90,0,0.288056
L0011330,5/4/2020 10:44,8/4/2020 0:03,8/4/2020 0:54,7/4/2020 23:59,CVD225,13,8/4/2020 1:23,8/4/2020 2:49,8/4/2020 0:54,CDO201,25,2,112,0,0.488889
L9506470,5/4/2020 11:01,8/4/2020 0:16,8/4/2020 1:08,8/4/2020 0:11,CVD223,13,8/4/2020 2:01,8/4/2020 3:39,8/4/2020 1:08,CDO202,24,3,124,0,0.871389
L0022690,5/4/2020 11:51,8/4/2020 0:16,8/4/2020 1:07,8/4/2020 0:13,CVD613,13,8/4/2020 1:31,8/4/2020 2:42,8/4/2020 1:07,CDO203,25,3,126,0,0.399167
L0022710,5/4/2020 12:28,8/4/2020 0:19,8/4/2020 1:36,8/4/2020 0:15,CVD620,13,8/4/2020 2:09,8/4/2020 3:37,8/4/2020 1:36,CDO203,25,3,127,0,0.541667
L9506910,5/4/2020 12:36,8/4/2020 0:49,8/4/2020 1:46,8/4/2020 0:35,CVD223,13,8/4/2020 2:36,8/4/2020 3:36,8/4/2020 1:46,CDO609,24,4,147,0,0.831389
L0020100,5/4/2020 12:49,8/4/2020 0:49,8/4/2020 1:46,8/4/2020 0:41,CVD613,13,8/4/2020 2:15,8/4/2020 3:43,8/4/2020 1:46,CDO201,25,4,153,0,0.485278
L0022720,5/4/2020 13:06,8/4/2020 0:57,8/4/2020 1:59,8/4/2020 0:43,CVD406,13,8/4/2020 3:03,8/4/2020 4:38,8/4/2020 1:59,CDO202,25,4,155,1,1.069167
L0023310,5/4/2020 13:10,8/4/2020 0:56,8/4/2020 1:58,8/4/2020 0:45,CVD224,13,8/4/2020 2:59,8/4/2020 4:41,8/4/2020 1:58,CDO201,25,4,157,1,1.014444
L0026840,5/4/2020 13:27,8/4/2020 1:13,8/4/2020 2:01,8/4/2020 0:47,XCL824,13,8/4/2020 3:07,8/4/2020 4:38,8/4/2020 2:01,CDO609,25,4,159,1,1.096667
L0025960,5/4/2020 13:40,8/4/2020 1:04,8/4/2020 1:55,8/4/2020 0:57,CVD225,13,8/4/2020 2:56,8/4/2020 4:31,8/4/2020 1:55,CDO203,25,4,169,1,1.026944
L0030230,5/4/2020 14:28,8/4/2020 1:39,8/4/2020 2:32,8/4/2020 1:35,CVD620,15,8/4/2020 3:54,8/4/2020 5:36,8/4/2020 2:32,CDO203,25,4,207,1,1.360278
L0026860,5/4/2020 14:46,8/4/2020 2:01,8/4/2020 2:40,8/4/2020 1:57,XCL824,15,8/4/2020 4:07,8/4/2020 5:33,8/4/2020 2:40,CDO609,25,4,229,1,1.451389
L0023540,5/4/2020 14:47,8/4/2020 2:47,8/4/2020 3:26,8/4/2020 2:43,XCL824,15,8/4/2020 4:08,8/4/2020 5:33,8/4/2020 3:26,CDO202,25,4,275,0,0.703333
L0030390,5/4/2020 15:12,8/4/2020 2:56,8/4/2020 3:47,8/4/2020 2:51,CVD225,15,8/4/2020 4:07,8/4/2020 5:35,8/4/2020 3:47,CDO201,25,4,283,0,0.340278
L0022980,5/4/2020 15:23,8/4/2020 3:40,8/4/2020 4:31,8/4/2020 3:37,CVD613,15,8/4/2020 4:55,8/4/2020 6:27,8/4/2020 4:31,CDO609,25,4,329,0,0.395556
L0022510,5/4/2020 16:49,8/4/2020 3:42,8/4/2020 4:34,8/4/2020 3:39,CVD620,15,8/4/2020 5:03,8/4/2020 6:29,8/4/2020 4:34,CDO201,25,4,331,0,0.493611
L0032120,5/4/2020 17:26,8/4/2020 3:56,8/4/2020 4:47,8/4/2020 3:41,CVD225,15,8/4/2020 5:38,8/4/2020 6:46,8/4/2020 4:47,CDO203,25,4,333,0,0.849722
L0030120,5/4/2020 18:03,8/4/2020 4:17,8/4/2020 5:11,8/4/2020 3:45,CVD613,15,8/4/2020 5:46,8/4/2020 6:53,8/4/2020 5:11,CDO202,25,4,337,0,0.587222
L0013660,5/4/2020 18:09,8/4/2020 4:38,8/4/2020 5:27,8/4/2020 4:33,CVD620,15,8/4/2020 5:49,8/4/2020 7:21,8/4/2020 5:27,CDO609,24,4,385,0,0.364444
L0042790,5/4/2020 18:19,8/4/2020 4:52,8/4/2020 5:46,8/4/2020 4:41,CVD225,15,8/4/2020 5:55,8/4/2020 7:30,8/4/2020 5:46,CDO201,25,4,393,0,0.145
L0025560,5/4/2020 18:39,8/4/2020 4:57,8/4/2020 5:50,8/4/2020 4:43,CVD613,15,8/4/2020 6:09,8/4/2020 7:40,8/4/2020 5:50,CDO203,25,4,395,0,0.322222
L0030100,5/4/2020 21:36,8/4/2020 5:11,8/4/2020 6:07,8/4/2020 4:45,CVD620,15,8/4/2020 6:22,8/4/2020 7:47,8/4/2020 6:07,CDO202,25,4,397,0,0.240278
L0020220,6/4/2020 1:58,8/4/2020 5:37,8/4/2020 6:30,8/4/2020 5:33,CVD613,15,8/4/2020 6:48,8/4/2020 8:20,8/4/2020 6:30,CDO609,25,4,445,0,0.306111
L0030090,6/4/2020 2:17,8/4/2020 5:49,8/4/2020 6:47,8/4/2020 5:35,CVD620,15,8/4/2020 7:06,8/4/2020 8:34,8/4/2020 6:47,CDO203,25,4,447,0,0.315833
L0031840,6/4/2020 3:05,8/4/2020 6:10,8/4/2020 7:09,8/4/2020 5:37,CVD613,15,8/4/2020 7:14,8/4/2020 8:41,8/4/2020 7:09,CDO202,25,4,449,0,0.078889
L0043720,6/4/2020 3:48,8/4/2020 5:51,8/4/2020 6:42,8/4/2020 5:39,CVD225,15,8/4/2020 6:56,8/4/2020 8:24,8/4/2020 6:42,CDO201,25,4,451,0,0.233889
L0031060,6/4/2020 4:00,8/4/2020 6:34,8/4/2020 7:42,8/4/2020 6:29,CVD619,15,8/4/2020 7:52,8/4/2020 9:18,8/4/2020 7:42,CDO201,25,4,501,0,0.158333
L0043950,6/4/2020 4:00,8/4/2020 6:36,8/4/2020 7:26,8/4/2020 6:31,CVD620,15,8/4/2020 7:43,8/4/2020 9:14,8/4/2020 7:26,CDO609,25,4,503,0,0.270833
L0022130,6/4/2020 4:19,8/4/2020 6:52,8/4/2020 7:43,8/4/2020 6:47,CVD225,15,8/4/2020 7:58,8/4/2020 9:33,8/4/2020 7:43,CDO203,25,4,519,0,0.2575
L0020940,6/4/2020 4:42,8/4/2020 6:59,8/4/2020 7:56,8/4/2020 6:55,CVD223,15,8/4/2020 8:09,8/4/2020 9:40,8/4/2020 7:56,CDO202,25,4,527,0,0.225278
L0042680,6/4/2020 5:07,8/4/2020 7:26,8/4/2020 8:22,8/4/2020 7:23,CVD619,15,8/4/2020 8:36,8/4/2020 10:08,8/4/2020 8:22,CDO609,25,4,555,0,0.244722
L0021090,6/4/2020 5:36,8/4/2020 10:22,8/4/2020 11:13,8/4/2020 7:31,CVD426,15,8/4/2020 11:19,8/4/2020 12:35,8/4/2020 11:13,CDO202,25,4,563,0,0.096667
L0021040,8/4/2020 7:16,8/4/2020 7:46,8/4/2020 8:36,8/4/2020 7:41,CVD223,15,8/4/2020 8:45,8/4/2020 10:12,8/4/2020 8:36,CDO201,25,4,573,0,0.165278
L0023140,6/4/2020 6:36,8/4/2020 7:53,8/4/2020 8:44,8/4/2020 7:49,CVD225,15,8/4/2020 8:56,8/4/2020 10:27,8/4/2020 8:44,CDO203,25,4,591,0,0.203056
L0030350,6/4/2020 6:47,8/4/2020 8:27,8/4/2020 9:15,8/4/2020 8:23,CVD223,15,8/4/2020 9:22,8/4/2020 10:33,8/4/2020 9:15,CDO202,25,4,625,1,0.116667
L0043220,6/4/2020 6:57,8/4/2020 10:36,8/4/2020 11:47,8/4/2020 8:25,CVD221,15,8/4/2020 12:02,8/4/2020 13:29,8/4/2020 11:47,CDO202,25,4,627,0,0.246667
L0025390,6/4/2020 7:18,8/4/2020 8:49,8/4/2020 9:40,8/4/2020 8:35,CVD225,15,8/4/2020 16:20,8/4/2020 17:42,8/4/2020 9:40,CDO440,19,4,637,0,6.660278
L0025390A,6/4/2020 7:38,8/4/2020 8:49,8/4/2020 9:40,8/4/2020 8:35,CVD225,15,8/4/2020 9:43,8/4/2020 16:16,8/4/2020 13:14,,6,4,637,0,0.056111
L0035790,6/4/2020 8:19,8/4/2020 8:51,8/4/2020 9:55,8/4/2020 8:43,CVD223,15,8/4/2020 9:57,8/4/2020 11:11,8/4/2020 9:55,CDO609,25,4,645,0,0.031111
L0021050,6/4/2020 8:55,8/4/2020 9:20,8/4/2020 10:11,8/4/2020 9:15,CVD620,15,8/4/2020 10:14,8/4/2020 11:22,8/4/2020 10:11,CDO203,25,4,677,0,0.042222
L0036760,6/4/2020 8:58,8/4/2020 9:24,8/4/2020 10:29,8/4/2020 9:19,CVD621,15,8/4/2020 10:34,8/4/2020 11:41,8/4/2020 10:29,CDO202,25,4,681,0,0.084722
L0040310,6/4/2020 9:12,8/4/2020 9:38,8/4/2020 10:28,8/4/2020 9:33,CVD426,15,8/4/2020 10:32,8/4/2020 11:31,8/4/2020 10:28,CDO201,24,4,695,0,0.065556
L0013090,6/4/2020 9:22,8/4/2020 9:39,8/4/2020 11:12,8/4/2020 9:35,CVD613,15,8/4/2020 11:17,8/4/2020 12:32,8/4/2020 11:12,CDO201,25,4,697,0,0.081944
L0045140,6/4/2020 9:35,8/4/2020 9:44,8/4/2020 10:35,8/4/2020 9:37,CVD225,15,8/4/2020 10:38,8/4/2020 12:05,8/4/2020 10:35,CDO609,25,5,699,0,0.0475
L0023110,6/4/2020 9:41,8/4/2020 9:57,8/4/2020 11:07,8/4/2020 9:39,CVD221,15,8/4/2020 11:09,8/4/2020 12:23,8/4/2020 11:07,CDO203,25,5,701,0,0.026944
L0020060,6/4/2020 9:58,8/4/2020 9:52,8/4/2020 10:51,8/4/2020 9:41,CVD620,15,8/4/2020 10:54,8/4/2020 11:56,8/4/2020 10:51,CDO440,25,5,703,0,0.043611
L0075590,6/4/2020 9:58,8/4/2020 10:38,8/4/2020 11:27,8/4/2020 10:33,CVD621,15,8/4/2020 11:32,8/4/2020 12:55,8/4/2020 11:27,CDO609,24,5,755,0,0.076667
L0023400,8/4/2020 9:52,8/4/2020 10:41,8/4/2020 11:31,8/4/2020 10:35,CVD620,13,8/4/2020 11:49,8/4/2020 13:18,8/4/2020 11:31,CDO203,25,5,757,0,0.304722
L0026390,6/4/2020 10:01,8/4/2020 10:47,8/4/2020 11:38,8/4/2020 10:43,CVD225,13,8/4/2020 11:57,8/4/2020 13:26,8/4/2020 11:38,CDO201,25,5,765,0,0.322222
L0023390,6/4/2020 10:21,8/4/2020 10:50,8/4/2020 11:52,8/4/2020 10:45,CVD426,13,8/4/2020 12:40,8/4/2020 13:51,8/4/2020 11:52,CDO440,25,5,767,0,0.801667
L0016250,6/4/2020 10:24,8/4/2020 10:51,8/4/2020 12:03,8/4/2020 10:47,CVD406,13,8/4/2020 12:42,8/4/2020 14:12,8/4/2020 12:03,CDO203,25,5,769,0,0.658056
L0023450,6/4/2020 10:31,8/4/2020 10:57,8/4/2020 12:16,8/4/2020 10:53,CVD619,13,8/4/2020 12:53,8/4/2020 14:20,8/4/2020 12:16,CDO201,25,5,775,0,0.626944
L0030210,6/4/2020 10:32,8/4/2020 11:15,8/4/2020 12:10,8/4/2020 11:11,CVD620,16,8/4/2020 12:46,8/4/2020 13:53,8/4/2020 12:10,CDO609,25,5,793,0,0.602222
L0030380,6/4/2020 10:38,8/4/2020 11:28,8/4/2020 12:32,8/4/2020 11:23,CVD426,16,8/4/2020 13:21,8/4/2020 14:53,8/4/2020 12:32,CDO440,25,5,805,0,0.814722
L0034830,6/4/2020 10:47,8/4/2020 11:39,8/4/2020 12:20,8/4/2020 11:35,XCL824,16,8/4/2020 12:54,8/4/2020 14:28,8/4/2020 12:20,CDO202,25,5,817,0,0.565833
L0013610,6/4/2020 10:49,8/4/2020 11:49,8/4/2020 12:40,8/4/2020 11:45,CVD225,16,8/4/2020 13:37,8/4/2020 15:10,8/4/2020 12:40,CDO203,25,5,827,0,0.951389
L0026410,6/4/2020 11:02,8/4/2020 12:07,8/4/2020 12:49,8/4/2020 12:03,XCL824,16,8/4/2020 13:47,8/4/2020 15:17,8/4/2020 12:49,CDO201,25,5,845,0,0.961111
L0021070,6/4/2020 11:11,8/4/2020 12:11,8/4/2020 13:01,8/4/2020 12:07,CVD619,16,8/4/2020 13:54,8/4/2020 15:22,8/4/2020 13:01,CDO202,25,5,849,0,0.871389
L0021120,6/4/2020 11:11,8/4/2020 12:29,8/4/2020 13:17,8/4/2020 12:25,CVD426,16,8/4/2020 14:36,8/4/2020 16:05,8/4/2020 13:17,CDO203,25,5,867,1,1.307778
L0026400,6/4/2020 11:12,8/4/2020 12:41,8/4/2020 13:41,8/4/2020 12:35,CVD619,16,8/4/2020 14:47,8/4/2020 16:11,8/4/2020 13:41,CDO201,25,5,877,1,1.101944
L0026530,6/4/2020 11:17,8/4/2020 12:44,8/4/2020 13:44,8/4/2020 12:39,XCL829,16,8/4/2020 14:51,8/4/2020 16:17,8/4/2020 13:44,CDO202,25,5,881,1,1.118889
L0046500,6/4/2020 11:25,8/4/2020 13:17,8/4/2020 14:20,8/4/2020 12:57,CVD619,16,8/4/2020 15:42,8/4/2020 16:52,8/4/2020 14:20,CDO440,25,5,899,1,1.3575
L0072520,6/4/2020 11:41,8/4/2020 14:17,8/4/2020 14:56,8/4/2020 13:27,XCL827,16,8/4/2020 15:33,8/4/2020 16:59,8/4/2020 14:56,CDO203,25,4,929,0,0.611667
L0031550,8/4/2020 12:57,8/4/2020 14:25,8/4/2020 15:43,8/4/2020 13:31,CVD224,16,8/4/2020 15:46,8/4/2020 17:17,8/4/2020 15:43,CDO202,25,4,933,0,0.054722
L0066740,6/4/2020 11:42,8/4/2020 14:10,8/4/2020 15:17,8/4/2020 13:53,CVD426,16,8/4/2020 15:38,8/4/2020 17:05,8/4/2020 15:17,CDO201,25,4,955,0,0.346667
L0046480,8/4/2020 13:31,8/4/2020 14:57,8/4/2020 15:56,8/4/2020 13:55,CVD426,16,8/4/2020 16:23,8/4/2020 18:01,8/4/2020 15:56,CDO203,25,4,957,0,0.439167
L0046260,6/4/2020 11:59,8/4/2020 15:15,8/4/2020 16:07,8/4/2020 15:11,CVD406,16,8/4/2020 16:32,8/4/2020 18:07,8/4/2020 16:07,CDO201,25,4,1033,0,0.431389
L0031570,6/4/2020 12:05,8/4/2020 15:23,8/4/2020 16:23,8/4/2020 15:19,CVD224,16,8/4/2020 16:46,8/4/2020 18:11,8/4/2020 16:23,CDO202,25,4,1041,0,0.379167
L0026440,6/4/2020 12:08,8/4/2020 15:30,8/4/2020 16:36,8/4/2020 15:25,CVD426,16,8/4/2020 17:18,8/4/2020 18:18,8/4/2020 16:36,CDO440,25,4,1047,0,0.701389
L0046490,6/4/2020 12:14,8/4/2020 16:08,8/4/2020 17:03,8/4/2020 16:05,CVD224,16,8/4/2020 17:27,8/4/2020 18:55,8/4/2020 17:03,CDO203,25,4,1117,0,0.400833
L0030970,6/4/2020 12:59,8/4/2020 16:17,8/4/2020 17:15,8/4/2020 16:13,CVD426,16,8/4/2020 17:36,8/4/2020 19:01,8/4/2020 17:15,CDO201,25,4,1125,0,0.339722
L0020260,6/4/2020 13:19,8/4/2020 16:48,8/4/2020 17:39,8/4/2020 16:19,CVD225,16,8/4/2020 17:45,8/4/2020 18:54,8/4/2020 17:39,CDO440,25,4,1131,0,0.098611
L0021320,6/4/2020 13:27,8/4/2020 16:28,8/4/2020 17:27,8/4/2020 16:23,CVD445,16,8/4/2020 17:37,8/4/2020 19:06,8/4/2020 17:27,CDO202,25,4,1135,0,0.166944
L0016660,6/4/2020 13:55,8/4/2020 16:58,8/4/2020 17:49,8/4/2020 16:53,CVD224,16,8/4/2020 18:19,8/4/2020 19:49,8/4/2020 17:49,CDO203,25,4,1155,0,0.496667
L0021780,8/4/2020 16:41,8/4/2020 17:02,8/4/2020 17:55,8/4/2020 16:57,CVD426,16,8/4/2020 18:21,8/4/2020 19:33,8/4/2020 17:55,CDO440,25,4,1159,0,0.433056
L0044770,6/4/2020 14:14,8/4/2020 17:08,8/4/2020 18:10,8/4/2020 17:03,CVD621,16,8/4/2020 18:26,8/4/2020 19:55,8/4/2020 18:10,CDO201,25,4,1165,0,0.270278
L0034200,6/4/2020 14:50,8/4/2020 17:19,8/4/2020 18:13,8/4/2020 17:15,CVD445,16,8/4/2020 18:33,8/4/2020 20:05,8/4/2020 18:13,CDO202,25,4,1177,0,0.338889
L0043200,6/4/2020 15:01,8/4/2020 17:43,8/4/2020 18:34,8/4/2020 17:19,CVD225,16,8/4/2020 19:24,8/4/2020 20:10,8/4/2020 18:34,CDO440,25,4,1181,0,0.834444
L0031250,6/4/2020 15:12,8/4/2020 17:48,8/4/2020 18:53,8/4/2020 17:43,CVD224,15,8/4/2020 19:15,8/4/2020 20:48,8/4/2020 18:53,CDO203,25,4,1205,0,0.361944
L0013670,6/4/2020 15:27,8/4/2020 18:38,8/4/2020 19:29,8/4/2020 18:03,CVD225,15,8/4/2020 19:33,8/4/2020 21:00,8/4/2020 19:29,CDO202,25,4,1225,0,0.075556
L0013640,6/4/2020 15:48,8/4/2020 18:15,8/4/2020 19:29,8/4/2020 18:07,XCL827,15,8/4/2020 19:39,8/4/2020 20:46,8/4/2020 19:29,CDO440,25,4,1229,0,0.160556
L0013630,6/4/2020 16:10,8/4/2020 18:26,8/4/2020 19:40,8/4/2020 18:15,CVD620,15,8/4/2020 20:13,8/4/2020 21:25,8/4/2020 19:40,CDO440,25,4,1237,0,0.5525
L0034880,6/4/2020 16:22,8/4/2020 18:26,8/4/2020 20:04,8/4/2020 18:19,CVD613,16,8/4/2020 20:24,8/4/2020 22:48,8/4/2020 20:04,CDO202,25,4,1241,0,0.3275
L0052810,6/4/2020 16:28,8/4/2020 19:00,8/4/2020 19:51,8/4/2020 18:55,CVD224,16,8/4/2020 20:14,8/4/2020 21:42,8/4/2020 19:51,CDO203,25,4,1277,0,0.376667
L0062330,8/4/2020 18:41,8/4/2020 19:33,8/4/2020 20:28,8/4/2020 18:57,CVD225,16,8/4/2020 20:47,8/4/2020 21:54,8/4/2020 20:28,CDO201,25,4,1280,0,0.321111
L0033940,8/4/2020 18:48,8/4/2020 19:57,8/4/2020 20:48,8/4/2020 19:51,CVD224,16,8/4/2020 20:58,8/4/2020 22:02,8/4/2020 20:48,CDO440,25,4,1334,0,0.165556
L0021840,6/4/2020 16:50,8/4/2020 20:28,8/4/2020 21:28,8/4/2020 20:01,CVD224,16,8/4/2020 21:46,8/4/2020 22:57,8/4/2020 21:28,CDO609,25,4,1344,0,0.301944
